Chrom	Start	End	Value
HSV1-Kos	9501	9600	0.56
HSV1-Kos	9601	9700	0.68
HSV1-Kos	9701	9800	0.72
HSV1-Kos	9801	9900	0.76
HSV1-Kos	9901	10000	0.68
HSV1-Kos	10001	10100	0.64
HSV1-Kos	10101	10200	0.62
HSV1-Kos	10201	10300	0.65
HSV1-Kos	10301	10400	0.6
HSV1-Kos	10401	10500	0.74
HSV1-Kos	10501	10600	0.63
HSV1-Kos	10601	10700	0.57
HSV1-Kos	10701	10800	0.52
HSV1-Kos	10801	10900	0.62
HSV1-Kos	10901	11000	0.66
HSV1-Kos	11001	11100	0.62
HSV1-Kos	11101	11200	0.62
HSV1-Kos	11201	11300	0.68
HSV1-Kos	11301	11400	0.64
HSV1-Kos	11401	11500	0.69
HSV1-Kos	11501	11600	0.49
HSV1-Kos	11601	11700	0.6
HSV1-Kos	11701	11800	0.78
HSV1-Kos	11801	11900	0.65
HSV1-Kos	11901	12000	0.59
HSV1-Kos	12001	12100	0.66
HSV1-Kos	12101	12200	0.66
HSV1-Kos	12201	12300	0.59
HSV1-Kos	12301	12400	0.56
HSV1-Kos	12401	12500	0.67
HSV1-Kos	12501	12600	0.55
HSV1-Kos	12601	12700	0.64
HSV1-Kos	12701	12800	0.63
HSV1-Kos	12801	12900	0.58
HSV1-Kos	12901	13000	0.64
HSV1-Kos	13001	13100	0.6
HSV1-Kos	13101	13200	0.68
HSV1-Kos	13201	13300	0.61
HSV1-Kos	13301	13400	0.56
HSV1-Kos	13401	13500	0.6
HSV1-Kos	13501	13600	0.65
HSV1-Kos	13601	13700	0.59
HSV1-Kos	13701	13800	0.62
HSV1-Kos	13801	13900	0.61
HSV1-Kos	13901	14000	0.56
HSV1-Kos	14001	14100	0.69
HSV1-Kos	14101	14200	0.62
HSV1-Kos	14201	14300	0.77
HSV1-Kos	14301	14400	0.64
HSV1-Kos	14401	14500	0.59
HSV1-Kos	14501	14600	0.62
HSV1-Kos	14601	14700	0.61
HSV1-Kos	14701	14800	0.63
HSV1-Kos	14801	14900	0.63
HSV1-Kos	14901	15000	0.77
HSV1-Kos	15001	15100	0.62
HSV1-Kos	15101	15200	0.7
HSV1-Kos	15201	15300	0.75
HSV1-Kos	15301	15400	0.68
HSV1-Kos	15401	15500	0.58
HSV1-Kos	15501	15600	0.76
HSV1-Kos	15601	15700	0.64
HSV1-Kos	15701	15800	0.68
HSV1-Kos	15801	15900	0.71
HSV1-Kos	15901	16000	0.65
HSV1-Kos	16001	16100	0.68
HSV1-Kos	16101	16200	0.72
HSV1-Kos	16201	16300	0.64
HSV1-Kos	16301	16400	0.79
HSV1-Kos	16401	16500	0.58
HSV1-Kos	16501	16600	0.58
HSV1-Kos	16601	16700	0.69
HSV1-Kos	16701	16800	0.6
HSV1-Kos	16801	16900	0.81
HSV1-Kos	16901	17000	0.78
HSV1-Kos	17001	17100	0.74
HSV1-Kos	17101	17200	0.68
HSV1-Kos	17201	17300	0.68
HSV1-Kos	17301	17400	0.6
HSV1-Kos	17401	17500	0.67
HSV1-Kos	17501	17600	0.58
HSV1-Kos	17601	17700	0.74
HSV1-Kos	17701	17800	0.63
HSV1-Kos	17801	17900	0.49
HSV1-Kos	17901	18000	0.62
HSV1-Kos	18001	18100	0.49
HSV1-Kos	18101	18200	0.63
HSV1-Kos	18201	18300	0.75
HSV1-Kos	18301	18400	0.61
HSV1-Kos	18401	18500	0.74
HSV1-Kos	18501	18600	0.64
HSV1-Kos	18601	18700	0.75
HSV1-Kos	18701	18800	0.66
HSV1-Kos	18801	18900	0.72
HSV1-Kos	18901	19000	0.76
HSV1-Kos	19001	19100	0.77
HSV1-Kos	19101	19200	0.73
HSV1-Kos	19201	19300	0.83
HSV1-Kos	19301	19400	0.69
HSV1-Kos	19401	19500	0.73
HSV1-Kos	19501	19600	0.7
HSV1-Kos	19601	19700	0.6
HSV1-Kos	19701	19800	0.77
HSV1-Kos	19801	19900	0.7
HSV1-Kos	19901	20000	0.75
HSV1-Kos	20001	20100	0.78
HSV1-Kos	20101	20200	0.66
HSV1-Kos	20201	20300	0.64
HSV1-Kos	20301	20400	0.75
HSV1-Kos	20401	20500	0.74
HSV1-Kos	20501	20600	0.63
HSV1-Kos	20601	20700	0.67
HSV1-Kos	20701	20800	0.62
HSV1-Kos	20801	20900	0.61
HSV1-Kos	20901	21000	0.66
HSV1-Kos	21001	21100	0.67
HSV1-Kos	21101	21200	0.69
HSV1-Kos	21201	21300	0.63
HSV1-Kos	21301	21400	0.59
HSV1-Kos	21401	21500	0.73
HSV1-Kos	21501	21600	0.56
HSV1-Kos	21601	21700	0.53
HSV1-Kos	21701	21800	0.67
HSV1-Kos	21801	21900	0.63
HSV1-Kos	21901	22000	0.57
HSV1-Kos	22001	22100	0.64
HSV1-Kos	22101	22200	0.61
HSV1-Kos	22201	22300	0.78
HSV1-Kos	22301	22400	0.65
HSV1-Kos	22401	22500	0.63
HSV1-Kos	22501	22600	0.58
HSV1-Kos	22601	22700	0.54
HSV1-Kos	22701	22800	0.63
HSV1-Kos	22801	22900	0.7
HSV1-Kos	22901	23000	0.6
HSV1-Kos	23001	23100	0.73
HSV1-Kos	23101	23200	0.66
HSV1-Kos	23201	23300	0.63
HSV1-Kos	23301	23400	0.76
HSV1-Kos	23401	23500	0.65
HSV1-Kos	23501	23600	0.58
HSV1-Kos	23601	23700	0.67
HSV1-Kos	23701	23800	0.57
HSV1-Kos	23801	23900	0.7
HSV1-Kos	23901	24000	0.67
HSV1-Kos	24001	24100	0.63
HSV1-Kos	24101	24200	0.7
HSV1-Kos	24201	24300	0.64
HSV1-Kos	24301	24400	0.66
HSV1-Kos	24401	24500	0.52
HSV1-Kos	24501	24600	0.46
HSV1-Kos	24601	24700	0.73
HSV1-Kos	24701	24800	0.62
HSV1-Kos	24801	24900	0.67
HSV1-Kos	24901	25000	0.61
HSV1-Kos	25001	25100	0.73
HSV1-Kos	25101	25200	0.62
HSV1-Kos	25201	25300	0.68
HSV1-Kos	25301	25400	0.65
HSV1-Kos	25401	25500	0.72
HSV1-Kos	25501	25600	0.63
HSV1-Kos	25601	25700	0.64
HSV1-Kos	25701	25800	0.7
HSV1-Kos	25801	25900	0.68
HSV1-Kos	25901	26000	0.71
HSV1-Kos	26001	26100	0.78
HSV1-Kos	26101	26200	0.69
HSV1-Kos	26201	26300	0.71
HSV1-Kos	26301	26400	0.7
HSV1-Kos	26401	26500	0.67
HSV1-Kos	26501	26600	0.71
HSV1-Kos	26601	26700	0.69
HSV1-Kos	26701	26800	0.7
HSV1-Kos	26801	26900	0.56
HSV1-Kos	26901	27000	0.67
HSV1-Kos	27001	27100	0.65
HSV1-Kos	27101	27200	0.59
HSV1-Kos	27201	27300	0.57
HSV1-Kos	27301	27400	0.64
HSV1-Kos	27401	27500	0.62
HSV1-Kos	27501	27600	0.64
HSV1-Kos	27601	27700	0.65
HSV1-Kos	27701	27800	0.52
HSV1-Kos	27801	27900	0.69
HSV1-Kos	27901	28000	0.67
HSV1-Kos	28001	28100	0.74
HSV1-Kos	28101	28200	0.75
HSV1-Kos	28201	28300	0.59
HSV1-Kos	28301	28400	0.66
HSV1-Kos	28401	28500	0.62
HSV1-Kos	28501	28600	0.59
HSV1-Kos	28601	28700	0.71
HSV1-Kos	28701	28800	0.72
HSV1-Kos	28801	28900	0.64
HSV1-Kos	28901	29000	0.69
HSV1-Kos	29001	29100	0.68
HSV1-Kos	29101	29200	0.68
HSV1-Kos	29201	29300	0.59
HSV1-Kos	29301	29400	0.66
HSV1-Kos	29401	29500	0.6
HSV1-Kos	29501	29600	0.68
HSV1-Kos	29601	29700	0.64
HSV1-Kos	29701	29800	0.62
HSV1-Kos	29801	29900	0.59
HSV1-Kos	29901	30000	0.61
HSV1-Kos	30001	30100	0.63
HSV1-Kos	30101	30200	0.71
HSV1-Kos	30201	30300	0.64
HSV1-Kos	30301	30400	0.71
HSV1-Kos	30401	30500	0.7
HSV1-Kos	30501	30600	0.75
HSV1-Kos	30601	30700	0.72
HSV1-Kos	30701	30800	0.64
HSV1-Kos	30801	30900	0.58
HSV1-Kos	30901	31000	0.65
HSV1-Kos	31001	31100	0.83
HSV1-Kos	31101	31200	0.78
HSV1-Kos	31201	31300	0.62
HSV1-Kos	31301	31400	0.62
HSV1-Kos	31401	31500	0.57
HSV1-Kos	31501	31600	0.67
HSV1-Kos	31601	31700	0.72
HSV1-Kos	31701	31800	0.67
HSV1-Kos	31801	31900	0.71
HSV1-Kos	31901	32000	0.76
HSV1-Kos	32001	32100	0.77
HSV1-Kos	32101	32200	0.69
HSV1-Kos	32201	32300	0.67
HSV1-Kos	32301	32400	0.76
HSV1-Kos	32401	32500	0.78
HSV1-Kos	32501	32600	0.71
HSV1-Kos	32601	32700	0.8
HSV1-Kos	32701	32800	0.72
HSV1-Kos	32801	32900	0.69
HSV1-Kos	32901	33000	0.7
HSV1-Kos	33001	33100	0.74
HSV1-Kos	33101	33200	0.71
HSV1-Kos	33201	33300	0.6
HSV1-Kos	33301	33400	0.71
HSV1-Kos	33401	33500	0.57
HSV1-Kos	33501	33600	0.51
HSV1-Kos	33601	33700	0.6
HSV1-Kos	33701	33800	0.57
HSV1-Kos	33801	33900	0.69
HSV1-Kos	33901	34000	0.67
HSV1-Kos	34001	34100	0.65
HSV1-Kos	34101	34200	0.71
HSV1-Kos	34201	34300	0.72
HSV1-Kos	34301	34400	0.5
HSV1-Kos	34401	34500	0.61
HSV1-Kos	34501	34600	0.61
HSV1-Kos	34601	34700	0.63
HSV1-Kos	34701	34800	0.53
HSV1-Kos	34801	34900	0.53
HSV1-Kos	34901	35000	0.66
HSV1-Kos	35001	35100	0.71
HSV1-Kos	35101	35200	0.6
HSV1-Kos	35201	35300	0.61
HSV1-Kos	35301	35400	0.66
HSV1-Kos	35401	35500	0.7
HSV1-Kos	35501	35600	0.67
HSV1-Kos	35601	35700	0.67
HSV1-Kos	35701	35800	0.72
HSV1-Kos	35801	35900	0.66
HSV1-Kos	35901	36000	0.71
HSV1-Kos	36001	36100	0.69
HSV1-Kos	36101	36200	0.62
HSV1-Kos	36201	36300	0.65
HSV1-Kos	36301	36400	0.7
HSV1-Kos	36401	36500	0.68
HSV1-Kos	36501	36600	0.63
HSV1-Kos	36601	36700	0.74
HSV1-Kos	36701	36800	0.69
HSV1-Kos	36801	36900	0.78
HSV1-Kos	36901	37000	0.66
HSV1-Kos	37001	37100	0.7
HSV1-Kos	37101	37200	0.64
HSV1-Kos	37201	37300	0.65
HSV1-Kos	37301	37400	0.72
HSV1-Kos	37401	37500	0.61
HSV1-Kos	37501	37600	0.71
HSV1-Kos	37601	37700	0.66
HSV1-Kos	37701	37800	0.72
HSV1-Kos	37801	37900	0.63
HSV1-Kos	37901	38000	0.75
HSV1-Kos	38001	38100	0.75
HSV1-Kos	38101	38200	0.7
HSV1-Kos	38201	38300	0.66
HSV1-Kos	38301	38400	0.64
HSV1-Kos	38401	38500	0.66
HSV1-Kos	38501	38600	0.76
HSV1-Kos	38601	38700	0.76
HSV1-Kos	38701	38800	0.69
HSV1-Kos	38801	38900	0.69
HSV1-Kos	38901	39000	0.69
HSV1-Kos	39001	39100	0.71
HSV1-Kos	39101	39200	0.65
HSV1-Kos	39201	39300	0.68
HSV1-Kos	39301	39400	0.68
HSV1-Kos	39401	39500	0.64
HSV1-Kos	39501	39600	0.76
HSV1-Kos	39601	39700	0.7
HSV1-Kos	39701	39800	0.64
HSV1-Kos	39801	39900	0.71
HSV1-Kos	39901	40000	0.63
HSV1-Kos	40001	40100	0.66
HSV1-Kos	40101	40200	0.59
HSV1-Kos	40201	40300	0.63
HSV1-Kos	40301	40400	0.68
HSV1-Kos	40401	40500	0.69
HSV1-Kos	40501	40600	0.66
HSV1-Kos	40601	40700	0.63
HSV1-Kos	40701	40800	0.7
HSV1-Kos	40801	40900	0.65
HSV1-Kos	40901	41000	0.62
HSV1-Kos	41001	41100	0.58
HSV1-Kos	41101	41200	0.52
HSV1-Kos	41201	41300	0.65
HSV1-Kos	41301	41400	0.6
HSV1-Kos	41401	41500	0.51
HSV1-Kos	41501	41600	0.58
HSV1-Kos	41601	41700	0.61
HSV1-Kos	41701	41800	0.64
HSV1-Kos	41801	41900	0.67
HSV1-Kos	41901	42000	0.62
HSV1-Kos	42001	42100	0.63
HSV1-Kos	42101	42200	0.56
HSV1-Kos	42201	42300	0.65
HSV1-Kos	42301	42400	0.54
HSV1-Kos	42401	42500	0.73
HSV1-Kos	42501	42600	0.78
HSV1-Kos	42601	42700	0.66
HSV1-Kos	42701	42800	0.74
HSV1-Kos	42801	42900	0.71
HSV1-Kos	42901	43000	0.61
HSV1-Kos	43001	43100	0.7
HSV1-Kos	43101	43200	0.6
HSV1-Kos	43201	43300	0.73
HSV1-Kos	43301	43400	0.73
HSV1-Kos	43401	43500	0.59
HSV1-Kos	43501	43600	0.62
HSV1-Kos	43601	43700	0.55
HSV1-Kos	43701	43800	0.65
HSV1-Kos	43801	43900	0.62
HSV1-Kos	43901	44000	0.62
HSV1-Kos	44001	44100	0.64
HSV1-Kos	44101	44200	0.66
HSV1-Kos	44201	44300	0.7
HSV1-Kos	44301	44400	0.63
HSV1-Kos	44401	44500	0.69
HSV1-Kos	44501	44600	0.73
HSV1-Kos	44601	44700	0.66
HSV1-Kos	44701	44800	0.63
HSV1-Kos	44801	44900	0.64
HSV1-Kos	44901	45000	0.71
HSV1-Kos	45001	45100	0.7
HSV1-Kos	45101	45200	0.75
HSV1-Kos	45201	45300	0.74
HSV1-Kos	45301	45400	0.68
HSV1-Kos	45401	45500	0.67
HSV1-Kos	45501	45600	0.75
HSV1-Kos	45601	45700	0.71
HSV1-Kos	45701	45800	0.7
HSV1-Kos	45801	45900	0.69
HSV1-Kos	45901	46000	0.56
HSV1-Kos	46001	46100	0.64
HSV1-Kos	46101	46200	0.6
HSV1-Kos	46201	46300	0.68
HSV1-Kos	46301	46400	0.62
HSV1-Kos	46401	46500	0.51
HSV1-Kos	46501	46600	0.7
HSV1-Kos	46601	46700	0.57
HSV1-Kos	46701	46800	0.69
HSV1-Kos	46801	46900	0.68
HSV1-Kos	46901	47000	0.66
HSV1-Kos	47001	47100	0.7
HSV1-Kos	47101	47200	0.7
HSV1-Kos	47201	47300	0.58
HSV1-Kos	47301	47400	0.62
HSV1-Kos	47401	47500	0.59
HSV1-Kos	47501	47600	0.66
HSV1-Kos	47601	47700	0.61
HSV1-Kos	47701	47800	0.6
HSV1-Kos	47801	47900	0.53
HSV1-Kos	47901	48000	0.65
HSV1-Kos	48001	48100	0.65
HSV1-Kos	48101	48200	0.76
HSV1-Kos	48201	48300	0.74
HSV1-Kos	48301	48400	0.61
HSV1-Kos	48401	48500	0.69
HSV1-Kos	48501	48600	0.53
HSV1-Kos	48601	48700	0.58
HSV1-Kos	48701	48800	0.71
HSV1-Kos	48801	48900	0.68
HSV1-Kos	48901	49000	0.85
HSV1-Kos	49001	49100	0.64
HSV1-Kos	49101	49200	0.67
HSV1-Kos	49201	49300	0.66
HSV1-Kos	49301	49400	0.67
HSV1-Kos	49401	49500	0.72
HSV1-Kos	49501	49600	0.77
HSV1-Kos	49601	49700	0.73
HSV1-Kos	49701	49800	0.63
HSV1-Kos	49801	49900	0.74
HSV1-Kos	49901	50000	0.61
HSV1-Kos	50001	50100	0.77
HSV1-Kos	50101	50200	0.66
HSV1-Kos	50201	50300	0.6
HSV1-Kos	50301	50400	0.56
HSV1-Kos	50401	50500	0.62
HSV1-Kos	50501	50600	0.45
HSV1-Kos	50601	50700	0.68
HSV1-Kos	50701	50800	0.65
HSV1-Kos	50801	50900	0.7
HSV1-Kos	50901	51000	0.7
HSV1-Kos	51001	51100	0.7
HSV1-Kos	51101	51200	0.77
HSV1-Kos	51201	51300	0.68
HSV1-Kos	51301	51400	0.69
HSV1-Kos	51401	51500	0.72
HSV1-Kos	51501	51600	0.76
HSV1-Kos	51601	51700	0.74
HSV1-Kos	51701	51800	0.67
HSV1-Kos	51801	51900	0.78
HSV1-Kos	51901	52000	0.74
HSV1-Kos	52001	52100	0.7
HSV1-Kos	52101	52200	0.67
HSV1-Kos	52201	52300	0.75
HSV1-Kos	52301	52400	0.78
HSV1-Kos	52401	52500	0.68
HSV1-Kos	52501	52600	0.45
HSV1-Kos	52601	52700	0.5
HSV1-Kos	52701	52800	0.55
HSV1-Kos	52801	52900	0.45
HSV1-Kos	52901	53000	0.62
HSV1-Kos	53001	53100	0.62
HSV1-Kos	53101	53200	0.65
HSV1-Kos	53201	53300	0.66
HSV1-Kos	53301	53400	0.73
HSV1-Kos	53401	53500	0.69
HSV1-Kos	53501	53600	0.58
HSV1-Kos	53601	53700	0.65
HSV1-Kos	53701	53800	0.66
HSV1-Kos	53801	53900	0.71
HSV1-Kos	53901	54000	0.71
HSV1-Kos	54001	54100	0.56
HSV1-Kos	54101	54200	0.73
HSV1-Kos	54201	54300	0.64
HSV1-Kos	54301	54400	0.68
HSV1-Kos	54401	54500	0.61
HSV1-Kos	54501	54600	0.69
HSV1-Kos	54601	54700	0.69
HSV1-Kos	54701	54800	0.58
HSV1-Kos	54801	54900	0.72
HSV1-Kos	54901	55000	0.63
HSV1-Kos	55001	55100	0.6
HSV1-Kos	55101	55200	0.58
HSV1-Kos	55201	55300	0.67
HSV1-Kos	55301	55400	0.68
HSV1-Kos	55401	55500	0.82
HSV1-Kos	55501	55600	0.74
HSV1-Kos	55601	55700	0.69
HSV1-Kos	55701	55800	0.69
HSV1-Kos	55801	55900	0.66
HSV1-Kos	55901	56000	0.53
HSV1-Kos	56001	56100	0.67
HSV1-Kos	56101	56200	0.67
HSV1-Kos	56201	56300	0.73
HSV1-Kos	56301	56400	0.73
HSV1-Kos	56401	56500	0.76
HSV1-Kos	56501	56600	0.81
HSV1-Kos	56601	56700	0.81
HSV1-Kos	56701	56800	0.69
HSV1-Kos	56801	56900	0.67
HSV1-Kos	56901	57000	0.71
HSV1-Kos	57001	57100	0.7
HSV1-Kos	57101	57200	0.76
HSV1-Kos	57201	57300	0.77
HSV1-Kos	57301	57400	0.68
HSV1-Kos	57401	57500	0.73
HSV1-Kos	57501	57600	0.54
HSV1-Kos	57601	57700	0.7
HSV1-Kos	57701	57800	0.71
HSV1-Kos	57801	57900	0.64
HSV1-Kos	57901	58000	0.71
HSV1-Kos	58001	58100	0.76
HSV1-Kos	58101	58200	0.6
HSV1-Kos	58201	58300	0.56
HSV1-Kos	58301	58400	0.74
HSV1-Kos	58401	58500	0.63
HSV1-Kos	58501	58600	0.7
HSV1-Kos	58601	58700	0.68
HSV1-Kos	58701	58800	0.72
HSV1-Kos	58801	58900	0.63
HSV1-Kos	58901	59000	0.65
HSV1-Kos	59001	59100	0.85
HSV1-Kos	59101	59200	0.56
HSV1-Kos	59201	59300	0.52
HSV1-Kos	59301	59400	0.69
HSV1-Kos	59401	59500	0.69
HSV1-Kos	59501	59600	0.7
HSV1-Kos	59601	59700	0.72
HSV1-Kos	59701	59800	0.62
HSV1-Kos	59801	59900	0.69
HSV1-Kos	59901	60000	0.64
HSV1-Kos	60001	60100	0.66
HSV1-Kos	60101	60200	0.7
HSV1-Kos	60201	60300	0.65
HSV1-Kos	60301	60400	0.7
HSV1-Kos	60401	60500	0.63
HSV1-Kos	60501	60600	0.72
HSV1-Kos	60601	60700	0.67
HSV1-Kos	60701	60800	0.72
HSV1-Kos	60801	60900	0.72
HSV1-Kos	60901	61000	0.77
HSV1-Kos	61001	61100	0.7
HSV1-Kos	61101	61200	0.64
HSV1-Kos	61201	61300	0.61
HSV1-Kos	61301	61400	0.58
HSV1-Kos	61401	61500	0.69
HSV1-Kos	61501	61600	0.7
HSV1-Kos	61601	61700	0.66
HSV1-Kos	61701	61800	0.72
HSV1-Kos	61801	61900	0.62
HSV1-Kos	61901	62000	0.72
HSV1-Kos	62001	62100	0.66
HSV1-Kos	62101	62200	0.64
HSV1-Kos	62201	62300	0.47
HSV1-Kos	62301	62400	0.61
HSV1-Kos	62401	62500	0.76
HSV1-Kos	62501	62600	0.63
HSV1-Kos	62601	62700	0.72
HSV1-Kos	62701	62800	0.68
HSV1-Kos	62801	62900	0.63
HSV1-Kos	62901	63000	0.76
HSV1-Kos	63001	63100	0.68
HSV1-Kos	63101	63200	0.69
HSV1-Kos	63201	63300	0.59
HSV1-Kos	63301	63400	0.72
HSV1-Kos	63401	63500	0.62
HSV1-Kos	63501	63600	0.66
HSV1-Kos	63601	63700	0.67
HSV1-Kos	63701	63800	0.6
HSV1-Kos	63801	63900	0.62
HSV1-Kos	63901	64000	0.61
HSV1-Kos	64001	64100	0.57
HSV1-Kos	64101	64200	0.59
HSV1-Kos	64201	64300	0.54
HSV1-Kos	64301	64400	0.61
HSV1-Kos	64401	64500	0.64
HSV1-Kos	64501	64600	0.73
HSV1-Kos	64601	64700	0.79
HSV1-Kos	64701	64800	0.63
HSV1-Kos	64801	64900	0.69
HSV1-Kos	64901	65000	0.63
HSV1-Kos	65001	65100	0.65
HSV1-Kos	65101	65200	0.72
HSV1-Kos	65201	65300	0.64
HSV1-Kos	65301	65400	0.69
HSV1-Kos	65401	65500	0.52
HSV1-Kos	65501	65600	0.64
HSV1-Kos	65601	65700	0.73
HSV1-Kos	65701	65800	0.61
HSV1-Kos	65801	65900	0.73
HSV1-Kos	65901	66000	0.83
HSV1-Kos	66001	66100	0.68
HSV1-Kos	66101	66200	0.52
HSV1-Kos	66201	66300	0.74
HSV1-Kos	66301	66400	0.53
HSV1-Kos	66401	66500	0.67
HSV1-Kos	66501	66600	0.64
HSV1-Kos	66601	66700	0.67
HSV1-Kos	66701	66800	0.62
HSV1-Kos	66801	66900	0.68
HSV1-Kos	66901	67000	0.68
HSV1-Kos	67001	67100	0.68
HSV1-Kos	67101	67200	0.72
HSV1-Kos	67201	67300	0.62
HSV1-Kos	67301	67400	0.6
HSV1-Kos	67401	67500	0.61
HSV1-Kos	67501	67600	0.76
HSV1-Kos	67601	67700	0.6
HSV1-Kos	67701	67800	0.73
HSV1-Kos	67801	67900	0.75
HSV1-Kos	67901	68000	0.75
HSV1-Kos	68001	68100	0.75
HSV1-Kos	68101	68200	0.73
HSV1-Kos	68201	68300	0.68
HSV1-Kos	68301	68400	0.63
HSV1-Kos	68401	68500	0.64
HSV1-Kos	68501	68600	0.62
HSV1-Kos	68601	68700	0.73
HSV1-Kos	68701	68800	0.8
HSV1-Kos	68801	68900	0.66
HSV1-Kos	68901	69000	0.76
HSV1-Kos	69001	69100	0.66
HSV1-Kos	69101	69200	0.66
HSV1-Kos	69201	69300	0.74
HSV1-Kos	69301	69400	0.65
HSV1-Kos	69401	69500	0.71
HSV1-Kos	69501	69600	0.67
HSV1-Kos	69601	69700	0.57
HSV1-Kos	69701	69800	0.61
HSV1-Kos	69801	69900	0.7
HSV1-Kos	69901	70000	0.68
HSV1-Kos	70001	70100	0.76
HSV1-Kos	70101	70200	0.7
HSV1-Kos	70201	70300	0.65
HSV1-Kos	70301	70400	0.68
HSV1-Kos	70401	70500	0.59
HSV1-Kos	70501	70600	0.69
HSV1-Kos	70601	70700	0.68
HSV1-Kos	70701	70800	0.54
HSV1-Kos	70801	70900	0.51
HSV1-Kos	70901	71000	0.68
HSV1-Kos	71001	71100	0.62
HSV1-Kos	71101	71200	0.61
HSV1-Kos	71201	71300	0.62
HSV1-Kos	71301	71400	0.68
HSV1-Kos	71401	71500	0.74
HSV1-Kos	71501	71600	0.76
HSV1-Kos	71601	71700	0.75
HSV1-Kos	71701	71800	0.73
HSV1-Kos	71801	71900	0.75
HSV1-Kos	71901	72000	0.74
HSV1-Kos	72001	72100	0.72
HSV1-Kos	72101	72200	0.75
HSV1-Kos	72201	72300	0.76
HSV1-Kos	72301	72400	0.79
HSV1-Kos	72401	72500	0.79
HSV1-Kos	72501	72600	0.78
HSV1-Kos	72601	72700	0.71
HSV1-Kos	72701	72800	0.76
HSV1-Kos	72801	72900	0.73
HSV1-Kos	72901	73000	0.73
HSV1-Kos	73001	73100	0.75
HSV1-Kos	73101	73200	0.67
HSV1-Kos	73201	73300	0.69
HSV1-Kos	73301	73400	0.8
HSV1-Kos	73401	73500	0.75
HSV1-Kos	73501	73600	0.59
